AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
111.49,66.25,142.41,82.24,30.48,106.48,92.39,76.59,178.06,119.89,152.79,34.52,115.34,68.97,42.12,112.25,164.25,59.3,59.8,49.62,31.07,86.85,106.24,139.43,102.01,81.62,47.66,82.46,69.3,83.65,
111.59,65.45,140.75,81.11,30.39,105.39,91.91,76.33,176.58,120.29,151.95,34.6,114.86,68.68,42.05,112.39,165.73,58.84,59.43,49.72,30.63,86.74,105.62,138.98,101.54,80.58,46.94,81.93,69.45,83.45,
109.83,65.33,140.02,81.27,30.32,105.39,93.37,75.85,176.21,120.18,152.37,33.93,115.03,68.38,42.03,111.72,166.83,58.43,59.21,49.73,29.89,86.6,105.72,137.83,101.05,80.65,46.87,80.78,69.63,83.66,
108.84,65.51,139.54,82.31,30.19,104.78,92.45,75.66,175.92,120.91,152.43,33.61,115.11,67.76,41.69,111.04,166.48,58.82,58.71,49.96,30,85.08,104.67,137.71,101.33,80.36,47.08,80.35,69.16,83.57,
110.41,67,143.03,83.75,30.94,106.85,94.43,76.4,181.48,123.75,155.72,34.69,116.66,69.88,42.46,112.82,169.74,60.05,60.42,50.91,30.38,86.56,105.36,141.93,103.05,82.51,47.46,81.45,69.78,85.45,
111.06,67.07,142.2,84.68,31,107.29,94.38,76.09,181.92,124.25,155.17,34.74,117.05,70.03,42.88,114.11,171.03,60.51,60.47,51.08,30,87.46,108.01,142.9,103.37,82.88,47.65,80.09,69.79,85.31,
110.88,68.74,145.09,91.2,31.36,107.64,94.64,76.72,192.63,126.02,154.81,34.75,120.31,73.25,42.27,114.98,170.39,64.18,60.17,51.12,32.12,85.93,106.94,141.9,104.81,83.24,47.86,81.54,71.1,86.25,
107.79,70.11,147.69,93.45,31,107.79,94.96,77.11,200.87,129.03,160.22,34.5,119.54,76.65,40.94,114.51,174.28,64.96,58.7,50.39,33.49,82.96,109.62,146.13,108.41,81.87,46.69,80.87,71.39,87.05,
108.43,70.5,148.52,93.01,31.36,106.64,97.68,76.4,203.94,129.85,161.27,34.61,118.47,76.69,41.03,114.22,175.08,63.95,59.02,50.77,32.59,83.58,110.28,146.42,108.86,81.88,46.69,81.05,71.23,85.67,
105.71,72.42,149.99,94.17,31.37,106.59,97.92,76.13,209.18,127.67,158.21,34.48,116.6,79.51,41.17,117.86,172.91,63.53,58.12,50.21,32.38,83,112.18,152.28,107.86,78.38,46.18,81.76,70.49,85.28,
107.11,72.47,148.11,94.44,31.7,108.96,97.7,75.72,211.19,124.4,158.67,34.91,116.32,79.36,41.44,118.32,174.24,63.65,58.87,50.13,32.23,83.62,111.85,152.23,107.68,78.57,47.37,83.28,71.42,86.82,
109.99,71.68,146.44,93.35,31.57,108.35,99.12,75.73,206.26,125.33,159.29,34.84,116.36,77.4,41.26,119.21,172.01,62.63,59.65,50.68,31.96,83.19,111.35,151.5,106.96,80.08,47.93,83.19,71.39,85.75,
109.95,71.78,145.33,92.78,30.05,108.12,99.37,75.99,209.63,128.93,159.8,35.02,116.57,78.02,41.12,119.45,172.77,62.7,60.64,51.59,31.73,83.07,111.18,150.77,106.7,81.07,47.84,83.99,69.19,85.23,
110.06,71,146.35,92.34,30.18,109.2,98.24,75.8,210.35,128.33,160.39,34.95,115.36,77.71,40.91,120,172.96,61.87,60.35,51.1,31.48,82,111.82,149.45,106.5,80.82,48.07,83.27,68.54,85.28,
111.73,71.54,147.02,92.9,30.05,110.18,97.63,76.9,211.08,128.22,162.77,34.98,115,78.05,41.36,119.5,171.52,62.3,60.86,51.28,31.57,82.64,111.84,150.41,106.85,81.69,48.31,84.42,69.37,86.49,
111.8,71.72,149.52,93.62,29.89,110.62,97.71,77.37,211.11,130.98,162.67,35.48,112.74,78.53,41.37,119.69,171.91,61.7,61.12,51.71,31.33,82.76,112.4,152.26,106.94,79.93,49.49,83.92,70.12,86.68,
111.23,72.88,149.74,96.18,29.71,111,98.26,77,212.31,131.21,161.98,35.2,113.07,78.86,41.12,120.14,172.25,61.64,60.4,51.34,31.42,82.68,113.07,153.54,108.11,79.57,50.23,84.05,70.83,86.92,
111.79,72.86,150.04,95.81,30.09,111,98.82,77.16,211.38,131.57,163.14,35.44,114.13,78.83,41.53,120.66,173.49,62.21,60.53,51.52,31.69,83.46,113.45,152.81,108.78,80.13,50.67,84.43,71.23,87.12,
111.57,72.13,149.77,94.9,29.92,110.5,98.97,77.36,210.35,130.64,164.52,35.51,113.13,78.32,41.75,121.82,172.5,61.8,60.61,51.01,31.54,83.07,113.81,152.11,108.45,79.08,51.12,85.35,71.19,86.47,
111.46,71.49,151.64,94.04,29.83,109.34,99.67,76.89,211.75,129.62,163.53,35.31,112.48,78.92,41.15,120.68,172.77,62.19,61.09,50.63,31.92,82.89,113.7,157.59,108.84,79.15,50.96,85.53,71.37,85.9,
110.52,72.04,150.56,95.56,29.82,111.56,99.12,79.35,219.29,129.4,162.22,34.7,111.3,80.17,40.35,119.27,171.74,61.19,60.26,50.07,32.14,82.46,113.35,158.32,107.72,77.32,49.9,84.73,70.43,87.3,
109.49,72.53,152.39,96.24,29.45,113.29,98.94,79.91,226.63,129.47,159.82,33.76,111.38,81.79,40.17,118.47,172.63,60.76,59.2,50.65,31.46,81.86,115.41,160.94,107.48,75.43,49.87,84.22,70.67,87.24,
