AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
28.14,41.3,53.72,59.68,23.92,79.06,30.73,39.99,167.63,28,127.94,19.66,63.51,42.22,29.04,63.54,78.63,36.88,30.01,16.35,18.85,62.91,52.6,28.7,68,20.74,30.24,39.37,54.75,76.04,
28.03,41.04,53.78,58.94,23.87,78.73,30.79,40.57,166.66,28.33,127.21,19.72,63.88,41.93,28.98,62.5,78.41,36.8,29.78,16.34,18.74,63.19,52.65,28.29,68.15,20.56,30.53,38.2,54.57,75.79,
28.07,38.87,53.77,58.2,23.83,77.96,30.33,39.36,164.3,27.93,127.55,19.87,64.16,41.4,28.64,61.97,77.15,36.77,29.83,16.17,18.64,62.56,51.44,27.33,67.26,20.01,30.56,37.8,54.44,74.99,
27.62,39.3,54.68,58.3,24.16,78.07,30.84,39.13,167.24,28.08,127.25,20.46,64.36,41.74,28.75,61.59,78.24,36.7,29.98,16.08,18.49,62.6,51.04,27.46,68.32,20.07,30.57,37.86,54.24,74.25,
26.99,39.41,55.82,57.56,24.21,78.17,31,39.9,163.85,28.22,127.04,20.37,64.37,41.25,28.94,61.93,77.91,36.7,29.79,16.14,18.06,62.47,50.57,28.3,68.86,19.98,31.09,37.68,54.93,73.77,
27.12,39.13,55.66,56.38,23.81,76.76,30.68,39.22,161.84,27.67,126.8,19.99,64.25,41.21,28.84,60.61,77.11,36.35,29.57,15.88,17.76,61.87,49.92,28.46,68.23,20,31.22,37.08,54.41,72.95,
28.26,39.88,55.47,56.18,23.86,77.06,30.7,38.99,166.44,27.55,128.39,20.01,64.38,41.19,28.92,60.6,79.74,37.15,29.71,15.49,18.24,62.24,50.1,28.5,67.41,20.44,31.13,38.23,54.07,72.79,
28.06,40.23,55.01,56.94,23.94,77.42,31.3,37.98,166.73,27.99,129.34,20.15,64.77,41.27,29.29,61.05,80.68,37.54,29.87,15.68,18.32,62.24,50.76,30.31,67.93,20.58,31.47,38.34,54.69,72.4,
27.81,40.73,55.6,57.51,23.77,77.76,31.7,37.95,166,28.49,129.68,19.9,64.85,40.96,29.56,61.66,81.75,37.07,29.85,15.97,18.3,62.34,50.7,30.48,69.4,20.34,31.54,38.81,54.65,72.83,
28.14,41.28,56.05,58.3,23.84,77.26,31.83,39.15,166.1,28.87,129.93,19.98,64.96,41.77,29.52,62.14,81.91,37.77,30.11,16.04,18.4,63.01,51.02,30.95,69.91,21.19,31.37,38.21,54.07,69.69,
27.74,40.96,55.67,58.2,23.48,77.37,32.18,38.12,162.74,29.02,128.49,19.8,64.74,40.86,29.53,62,82.7,38,30.02,16.09,18.29,62.12,50.41,31.32,70.25,21.54,30.86,37.86,53.98,69.17,
27.86,41.27,55.13,58.23,23.45,77.89,32.43,38.85,164.99,28.96,128.71,19.38,64.8,41.36,29.21,62.42,81.72,37.75,30.1,16.01,18.41,62.16,49.7,32.2,70.25,21.76,30.58,38.24,53.32,68.43,
27.41,40.45,54.47,57.53,23.18,76.78,31.93,37.71,160.93,28.8,127.4,19.07,64.47,40.27,28.49,61.92,80.47,37.28,29.6,15.81,18.22,61.59,48.38,31.82,69.58,21.76,30.68,37.31,52.76,68.22,
27.92,40.51,53.44,57.19,23.33,76.9,31.95,37.34,163.19,28.65,127.91,19.63,64.37,40.95,28.46,62.17,80.97,37.4,30.36,16.11,18.3,61.55,48.14,31.54,69.46,22.24,30.67,36.64,52.85,68.21,
28.32,41.02,54.3,57.6,23.64,77.5,32.4,38.09,165.45,28.96,128.65,20.09,64.33,41.9,28.59,62.66,81.43,37.69,30.52,16.22,18.61,61.3,48.67,32.17,69.36,21.88,30.87,36.61,53.4,68.51,
28.62,41.42,55.1,57.89,23.75,77.49,32.31,38.42,164.6,29.29,129.93,20.04,64.53,41.94,28.64,62.97,81.96,37.75,30.82,16.27,18.61,61.3,48.94,32.32,69.35,21.58,31.04,36.97,53.34,68.57,
28.87,41.21,54.96,58.32,23.78,77.04,32.43,39.66,163.63,29,130,20.1,64.57,41.56,28.65,63.36,82.19,37.25,30.92,16.36,18.58,61.31,49.18,31.62,69.51,21.54,31.07,37.44,53.32,68.26,
29.86,41.68,55.48,58.33,23.96,77.43,32.29,39.89,163.97,29.17,130.57,20.33,64.7,41.89,28.72,63.42,82.55,36.99,31,16.31,18.6,61.28,49.94,31.68,70.36,21.57,31.19,37.48,53.6,68.66,
30.23,41.05,55.14,58.51,24.08,77.77,31.91,40.6,163.76,29.18,132.31,20.3,64.94,41.72,28.72,63.61,83.45,37.29,31.17,16.38,18.63,61.25,49.83,31.39,70.46,21.69,31.31,37.3,53.98,69.08,
29.87,40.88,55.21,58.18,24.1,77.21,32.38,40.79,164.12,29.27,131.85,20.4,64.94,41.49,28.87,63.59,84.13,37.1,31.39,16.55,18.56,61.58,49.87,30.85,70.3,22.01,31.25,37.23,54.11,68.84,
30.23,40.8,54.96,58.05,24.18,77.65,32.28,40.29,166.7,29.13,132.57,20.59,64.91,41.53,28.84,62.89,83.9,37.06,30.96,16.54,18.5,61.37,50.26,31.01,70.49,22.04,31.25,37.13,54.3,68.77,
30.1,40.52,54.13,56.99,23.94,76.99,32.25,39.35,168.84,28.93,130.9,20.4,64.41,41.67,28.5,62.44,82.67,36.54,30.48,16.52,18.19,60.63,49.86,30.48,69.41,21.87,30.97,36.72,53.45,68.19,
