AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
107.23,68.85,142.38,68.41,26.89,90.27,106.74,73.34,180.05,131.88,137.93,34.73,102.71,65.68,43.29,117.72,148.97,52.1,55.35,65.93,32.52,79.6,112.48,117.44,94.87,77.38,46.34,86.01,60.54,77.65,
108.61,69.97,144.06,69.89,27.4,93.81,105.56,74.81,182.95,133.11,138.54,35,103.49,66.73,43.67,118.8,151.16,52.98,55.82,64.36,32.56,79.92,113.21,118.69,96.3,78.56,46.95,86.05,61.09,80.19,
108.03,70.16,143.53,69.38,27.38,92.05,105.86,74.49,182.47,132.9,138.25,34.98,103.72,66.6,43.54,118.57,151.19,52.85,55.67,63.18,32.62,79.79,113.27,118.34,96.3,78.26,46.71,86.46,60.83,79.33,
106.82,69.76,144.54,68.58,27.31,90.36,107.25,74.38,181.62,132.68,137.61,34.93,103.22,66.38,43.49,118.75,151.22,52.84,55.95,63.81,32.42,79.92,113.48,118.33,96.09,78.53,46.75,85.84,60.75,78.74,
108.74,70.55,147.35,69.19,27.77,91.25,107.08,75.18,183.53,133.7,139.78,35.44,104.03,67.07,43.71,120.07,152.89,53.34,56.55,64.26,32.83,80.36,115.02,119.82,97.27,79.21,47.21,86.82,61.61,79.16,
107.32,70.16,146.41,68.69,27.53,90.09,106.34,73.57,182.01,133.35,139.34,34.99,103.78,66.59,43.57,119.43,151.91,53.25,56.31,63.25,32.75,80.07,114.29,118.92,96.9,78.35,46.77,86.39,61.68,78.11,
105.26,69.55,144.59,67.96,27.16,89.96,105.08,73.31,180.23,132.25,137.62,34.45,102.72,66.03,42.96,118.14,150.64,52.82,55.48,62.5,32.28,79.41,112.86,117.64,96.07,77.55,46.22,85.16,61.3,77.95,
105.35,67.59,140.5,67.99,26.41,88.85,102.98,71.1,177.14,131.07,135.95,33.99,100.48,63.62,42.4,117.58,146.82,52.48,54.8,61.52,31.95,78.37,109.97,116.46,95.57,75.7,45.87,83.05,61.46,77.46,
102.71,66.55,141.07,67.28,26.29,89.61,100.9,70.56,174.09,130.43,135.85,33.83,100.9,63.73,42.55,119.2,147.46,53.15,55.05,62.38,32.18,78.62,110.47,116.68,95.72,76.27,46.5,80.87,62.92,78.12,
100.7,64.42,138.83,66.22,26.01,86.07,100.36,69.01,169.84,129.08,135.17,33.08,100.39,62.81,42.32,118.4,144.49,52.42,54.05,61.49,31.61,77.86,109.04,115.49,93.12,75.27,45.52,79.63,63.55,77.47,
96.45,63.84,133.01,63.94,25.41,83.02,99.5,66.42,164.62,125.4,132.86,31.84,99.22,60.27,41.62,115.66,140.97,51.96,52.17,59.85,31.4,77.18,106.44,112.09,91.9,73.79,45.27,81.17,65.03,76.23,
96.96,63.63,129.99,63.29,24.78,82.13,99.25,65.91,163.94,123.9,131.63,31.51,98.16,58.92,41.51,115.48,140.49,51.08,52.33,58.87,31,75.97,105.99,110.16,90.4,72.88,44.83,81.05,63.54,74.69,
98.53,64.05,130.21,61.47,25.27,80.77,99.92,64.65,165.73,125.78,133.23,32.06,97.57,58.83,41.58,116.69,140.46,51.25,52.3,59.55,31.07,76.67,106.79,109.58,90.5,73.92,45.09,81.02,64.22,73.69,
99.96,64.4,131.92,61.6,25.35,82.15,101.46,63.79,165.71,127.49,132.9,32.68,98.24,58.96,42.12,117.44,140.86,51.76,52.78,59.94,31,76.51,107.98,112.26,90.5,74.76,44.93,81.82,63.62,75.2,
97.39,62.85,128.12,60.89,24.6,81.33,98.48,62.13,158.99,121.4,131.17,31.91,97.02,57.34,41.85,115.12,138.72,50.66,51.64,58.78,30.37,75.85,106.06,109.23,88.83,73.1,44.15,79.93,61.92,75.65,
99.52,63.29,129.2,62.27,24.66,85.47,99.11,63,161.39,119.62,132.91,32.74,98.89,58.2,41.88,116.62,141.18,51.8,53.11,58.51,31.11,76.15,106.98,110.76,89.01,73.8,44.87,81.87,63.06,79.12,
97.13,62.91,125.63,59.87,23.62,83.67,93.9,61.18,155.61,119.23,130.03,29.76,97,57.04,41.5,115.18,138.69,51.14,50.99,57.56,30.81,74.98,105.1,109.27,85.63,71.83,44.43,79.93,61.93,77.58,
96.66,62.64,126.06,59.03,23.85,81.51,93.97,59.91,156.82,119.76,128.11,29.8,97.5,57.01,41.92,117.5,138.39,51.34,50.56,58.32,30.69,76.73,105.76,112.58,85.24,71.39,44.87,80.7,62.56,76.4,
96.79,63.03,122.14,58.81,22.9,78.98,92.54,58.84,153.75,116.46,121.86,29.59,95.75,55.51,41.38,115.78,136.96,50.55,50.79,59.04,30.66,75.83,103.65,114.79,84.83,70.68,44.42,79.45,60.84,73.18,
96.3,62.64,123.4,59.69,22.9,81.05,94.02,59.81,151.65,120.22,122.91,29.66,95.94,55.25,41.39,117.84,137.76,50.92,50.48,60.56,30.58,76.72,102.7,113.5,85.57,71.56,45.87,78.98,61.88,74.1,
101.42,55.06,124.61,60.98,23.37,83.54,96.9,61.55,156.86,122.76,122.5,29.93,96.75,56.95,42.06,118.4,139.52,51.35,52.29,60.88,30.71,77.36,103.14,114.33,86.35,72.7,47.04,80.84,62.69,76.57,
99.44,55.02,124.01,57.91,23.17,80.89,95.29,60.07,151.12,121.71,122.08,29.6,96.4,55.66,42.16,119.2,137.57,50.92,51.79,60.7,30.5,76.85,102.08,113.38,84.9,71.74,47.03,78.71,63.45,73.98,
99.99,55.09,128.01,59.16,23.72,84.12,96.27,60.47,154.45,122.2,122.59,29.94,101.18,57.08,42.08,120.43,144.78,51.45,52.17,61.11,30.67,78.81,103.25,113.96,85.65,71.88,48.25,79.44,64,76.7,
93.42,54.52,116.58,58.32,23.43,83.29,94.32,58.97,153.72,121.57,120.96,29.81,102.16,57.04,42.09,120.87,145.55,50.37,51.22,59.58,30.52,78.8,103.31,112.33,85.81,70.91,49.03,78.45,63.95,75.29,
94.09,52.88,118.01,61.08,23.11,85.92,93.53,59.17,157.06,122.28,122.22,29.97,102.27,57.28,42.57,122.38,147.32,49.2,52.06,61.2,30.2,79.82,104.47,111.38,86.45,69.33,49.01,77.61,64.22,76.99,
97.34,53.5,120.13,62.24,23.79,86.47,95.82,59.81,161.56,125.76,124.79,31.02,104.44,59.5,42.92,123.78,151,50.67,55.09,62.01,30.49,81.69,107.04,115.16,87.69,74.49,49.97,79.72,66.36,77.85,
96.43,54.7,121.56,62.7,23.48,85.29,95.15,60.64,159.65,126.51,124.83,30.82,104.37,58.86,43,124.61,148.73,50.75,54.71,63.16,30.17,81.12,107.01,115.89,87.56,74.38,50.76,80.07,67.5,76.29,
94.48,53.66,117.52,60.67,22.83,81.24,93.12,64.13,151.7,125.27,122.94,29.8,103.41,57.03,42.44,123.95,147.87,50.41,53,62.55,30.14,80.22,106.03,113.88,85.42,73.4,49.91,78,66.86,74.59,
96.35,54.11,121.87,63.27,23.1,84.62,95.14,66.56,152.68,123.79,124.72,29.34,104.14,57.41,42.72,121.47,152.52,50.05,52.16,62.49,29.67,81.1,106.89,112.75,85.96,74.38,50.62,76.81,66.27,78.48,
96.6,54.38,123.61,65.96,23.54,84.79,95.43,67.49,156.49,121.11,127.65,29.77,103.9,58.4,42.53,120.66,153.44,48.59,52,60.17,29,80.7,107.49,114.2,88.12,73.68,50.43,77.19,66.42,79.83,
94.02,53.98,122.56,66.12,22.89,82.88,93.9,66.49,156.47,116.43,128.57,29.04,100.54,57.75,42.44,115.4,153.47,49.38,50.16,57.17,29.03,81.2,106.29,111.72,87.84,71.54,50.97,75.2,67,80.08,
95.01,52.4,119.47,64.58,22.93,85.99,92.12,65.84,149.25,111.85,126.98,28.82,102,56.54,42.65,116.05,153.9,48.83,49.41,55.04,28.56,82.62,105.6,110.02,86.78,67.77,50.74,72.91,66.9,81.16,
94.99,52.63,118.88,63.93,22.65,82.92,92.32,66.36,148.25,113.86,124.07,28.81,101.97,56.2,43.3,117.01,154.74,49.16,49.28,55.68,29.1,82.64,105.92,111.16,87.24,68.33,50.15,74.93,65.81,80.08,
94.27,52.29,116.36,62.14,22.51,83.04,88.85,65.74,147.23,114.33,120.19,28.23,101.73,55.52,42.55,117.54,152.45,49.53,49.71,57.41,29.49,81.62,105.72,112.74,86.96,70.15,49.98,76.01,65.79,79.35,
93.7,51.11,108.44,61.41,24.68,82.99,90.31,63.8,140.69,113.27,117.85,28.22,101.7,53.07,42.41,116.73,150.67,48.85,49.69,56,29.13,79.9,103.77,110.62,84.66,68.47,49.39,75.53,65.32,79.6,
93.99,52.66,108.63,63.15,25.11,85.43,91.15,65.52,146.13,116.32,121.04,28.64,101.82,57.49,43.11,117.93,153.96,49.03,50.5,56.42,29.36,80.99,107.49,111.82,85.95,70.42,50.11,77.08,66.18,81.03,
96.64,53.18,112.6,65.21,25.84,84.81,92.91,66.69,149.02,119.43,122.74,28.78,102.32,58.35,43.36,119.18,155.53,49.78,51.09,57.79,29.81,81.47,107.37,115.15,86.48,71.1,50.24,76.55,65.9,81.22,
98.12,53.61,116.34,67.26,26.46,88.31,95.5,68.34,150.94,121.21,126.1,29.47,102.5,58.77,43.49,118.64,156.62,50.6,52.42,58.17,29.63,82.45,109.18,118.3,88.12,72.03,50.32,78.16,66.11,82,
96.26,54.15,117.57,66.12,26.43,86.73,95.17,67.74,147.73,119.97,132.45,29.42,104.24,57.81,43.61,117.17,156.78,50.32,52.19,58.6,29.55,81.98,108.85,117.45,88.36,71.24,50.94,76.55,64.12,82.45,
96.04,54.71,115.16,65.42,26.55,86.5,95.01,67.05,146.91,121.69,133.08,28.71,104.16,57.82,43.77,116.53,156.45,50.12,51.82,59.31,29.49,81.79,108.09,117.68,88.23,71.53,50.86,77.57,64.66,82.5,
96.88,55.63,117.39,67.31,26.63,88.82,96.37,68.2,148.79,122.85,133.77,29.35,104.75,58.57,43.94,117.67,157.7,50.77,52.65,60.17,30.05,82.13,109.35,121.27,92.37,73.06,51.07,78.8,65.63,82.39,
94.69,55.11,116.9,65.78,26.12,84.91,95.38,66.9,144.91,124.53,132.4,28.8,104.08,56.12,43.69,116.9,156.17,50.54,51.18,60.21,29.96,81.81,107.91,121.15,91.6,72.15,50.63,78.73,66.48,81.23,
96.1,54.64,115.59,65.88,26.32,85.27,95.43,67.2,145.56,125.61,132.8,29.19,104.96,56.14,43.91,117.06,157.22,50.56,51.36,60.4,30.02,81.56,108.48,120.2,93.61,71.85,50.82,79.43,67.12,81.52,
96.76,55.39,116.82,66.47,26.6,85.3,95.65,68.5,148.25,126.86,134.5,29.62,106.38,57.01,44.16,118.37,158.99,51,52.1,62.38,30.59,82.34,109.27,121.2,98.07,73.27,51.11,79.92,68.04,82.01,
96.91,55.38,118.16,66.87,26.41,84.35,95.31,69.41,150.25,126.26,132.03,29.8,105.78,57.54,43.14,117.06,158.27,50.64,51.3,62.6,30.23,81.1,108.46,121.33,97.69,72.73,51.02,79.57,66.51,81.75,
96.69,55.58,118.18,67.7,26.18,83.44,95.52,69.23,149.53,124.12,131.03,29.59,105.21,56.3,43.13,117.19,156.87,50.21,50.88,61.59,29.67,80.29,107.52,119.1,96.62,72.39,50.73,78.94,66.34,80.15,
